X,Date,Time,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner,Series_Type,Is_Exciting,P1_Elo,P2_Elo,Elo_Diff,P1_WinRate,P2_WinRate,WinRate_Diff,P1_Streak,P2_Streak
31,6/10/2022,7:50:00,Vons V.,Daragan S.,3,1,12,10,12,10,6,11,11.0,4.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
32,6/10/2022,7:55:00,Torba R.,Nikolenko S.,2,3,18,16,11,8,7,11,9.0,11.0,6.0,11.0,0,Comeback,1,1000.0,1000.0,0.0,,,,0,0
33,6/10/2022,8:00:00,Fedoryshyn I.,Tupyk M.,3,0,11,6,11,6,11,4,,,,,1,Sweep,0,1000.0,988.0,12.0,,0.0,,0,0
34,6/10/2022,8:00:00,Stukalov V.,Yurenev O.,3,1,9,11,11,8,11,4,11.0,7.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
35,6/10/2022,8:05:00,Skripnik S.,Mishchenko V.,2,3,11,4,7,11,11,8,3.0,11.0,9.0,11.0,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
36,6/10/2022,8:20:00,Fylypiv R.,Slozka M.,3,2,11,6,12,10,11,13,10.0,12.0,11.0,9.0,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
37,6/10/2022,8:20:00,Romanenko I.,Semipeadnii V.,1,3,7,11,3,11,11,4,8.0,11.0,,,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
38,6/10/2022,8:25:00,Rak S.,Nakliutskyi A.,3,0,11,9,11,8,11,7,,,,,1,Sweep,0,1000.0,1000.0,0.0,,,,0,0
39,6/10/2022,8:30:00,Baday M.,Sedin V.,3,0,11,4,11,8,11,8,,,,,1,Sweep,0,1012.0,988.0,24.0,1.0,0.0,1.0,1,0
40,6/10/2022,8:30:00,Yakubov M.,Ponomarenko O.,1,3,11,13,9,11,11,7,9.0,11.0,,,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
41,6/10/2022,8:35:00,Kolbasenko O.,Mrykh M.,3,1,9,11,12,10,11,8,11.0,4.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
44,6/10/2022,8:50:00,Turek T.,Marko J.,2,3,11,9,9,11,9,11,11.0,9.0,10.0,12.0,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
43,6/10/2022,8:50:00,Mul S.,Lipkan D.,3,0,11,5,11,4,11,8,,,,,1,Sweep,0,1000.0,1000.0,0.0,,,,0,0
42,6/10/2022,8:50:00,Lutskyi V.,Daragan S.,3,2,17,15,11,5,9,11,10.0,12.0,11.0,8.0,1,Secure,0,1012.0,988.0,24.0,1.0,0.0,1.0,1,0
45,6/10/2022,8:55:00,Hordiichuk O.,Nikolenko S.,0,3,6,11,7,11,8,11,,,,,0,Sweep,0,1012.0,1012.0,0.0,1.0,1.0,0.0,1,1
46,6/10/2022,8:55:00,Masko Y.,Cherevko R.,1,3,9,11,8,11,11,7,12.0,14.0,,,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
47,6/10/2022,9:00:00,Fedoryshyn I.,Zaitsev O.,1,3,11,8,7,11,9,11,7.0,11.0,,,0,Secure,0,1011.6,1012.0,0.39999999999997726,1.0,1.0,0.0,1,1
